City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,shihezi,44.3,86.03,61.25,32,5,4.59,CN,1600816391
307,balkhash,46.84,74.98,53.37,43,100,12.73,KZ,1600816392
308,braniewo,54.38,19.82,62.71,65,0,13.33,PL,1600816392
309,cayenne,4.93,-52.33,82.4,78,7,10.29,GF,1600816182
310,churapcha,62.0,132.43,42.21,73,0,3.15,RU,1600816393
311,assiniboia,49.63,-105.98,72.5,29,100,10.11,CA,1600816393
312,namibe,-15.2,12.15,64.0,89,50,3.31,AO,1600816393
313,victoria,22.29,114.16,84.0,79,84,11.95,HK,1600816234
314,ponta do sol,32.67,-17.1,77.0,69,20,3.36,PT,1600816393
315,eureka,40.8,-124.16,69.01,77,34,3.0,US,1600816176
316,bethel,41.37,-73.41,66.2,29,1,8.05,US,1600816393
317,sakaiminato,35.55,133.23,66.2,93,75,4.7,JP,1600816394
318,mazagao,-0.12,-51.29,84.2,74,20,11.41,BR,1600816394
319,nuuk,64.18,-51.72,33.8,86,10,4.7,GL,1600816135
320,smithers,54.78,-127.17,59.0,58,40,6.93,CA,1600816394
321,kuhdasht,33.53,47.61,64.89,27,0,4.16,IR,1600816394
322,beira,-19.84,34.84,71.11,71,30,13.02,MZ,1600816394
323,rocha,-34.48,-54.33,46.81,87,73,7.72,UY,1600816286
324,birao,10.28,22.79,73.96,91,59,1.86,CF,1600816395
325,chulman,56.85,124.91,43.3,72,0,1.19,RU,1600816395
326,ornskoldsvik,63.29,18.72,46.4,87,100,8.05,SE,1600816395
327,araouane,18.9,-3.53,97.11,20,10,8.34,ML,1600816396
328,matara,5.95,80.54,77.76,87,94,9.62,LK,1600816396
329,kavaratti,10.57,72.64,81.48,79,47,21.9,IN,1600816396
330,umm lajj,25.02,37.27,86.99,44,0,6.89,SA,1600816397
331,linxia,35.6,103.21,53.01,72,76,0.58,CN,1600816397
332,torrington,41.8,-73.12,61.0,52,10,1.99,US,1600816397
333,hirson,49.92,4.08,57.99,66,0,1.12,FR,1600816397
334,aykino,62.22,49.99,39.51,85,38,9.66,RU,1600816397
335,bartow,27.9,-81.84,79.0,69,90,10.29,US,1600816398
336,la ronge,55.1,-105.28,59.0,47,75,10.29,CA,1600816398
337,serebryanyy bor,56.8,124.8,42.98,73,0,1.19,RU,1600816398
338,lucea,18.45,-78.17,86.0,70,20,4.7,JM,1600816398
339,limbang,4.75,115.0,77.0,94,75,3.36,MY,1600816398
340,porto walter,-8.27,-72.74,76.26,90,99,1.54,BR,1600816399
341,zhicheng,30.3,111.5,63.0,92,93,1.88,CN,1600816399
342,barkly west,-28.54,24.52,64.4,59,17,12.75,ZA,1600816399
343,ugoofaaru,5.67,73.0,81.37,78,100,14.05,MV,1600816399
344,staryy nadym,65.61,72.68,36.63,90,81,13.2,RU,1600816399
345,canapi,-9.12,-37.6,74.17,69,16,12.77,BR,1600816400
346,pedernales,18.04,-71.74,82.06,66,99,3.04,DO,1600816400
347,ferrol,43.48,-8.24,64.4,93,20,8.05,ES,1600816400
348,margate,51.38,1.39,64.99,88,14,1.99,GB,1600816400
349,axim,4.87,-2.24,75.45,88,96,11.56,GH,1600816401
350,pecos,31.42,-103.49,87.8,18,1,5.82,US,1600816401
351,shakiso,5.75,38.92,62.67,74,81,0.22,ET,1600816401
352,berlevag,70.86,29.09,44.28,87,75,8.77,NO,1600816401
353,botwood,49.15,-55.35,50.0,81,100,5.95,CA,1600816401
354,srednekolymsk,67.45,153.68,40.87,90,100,2.24,RU,1600816401
355,kukmor,56.19,50.89,53.33,83,99,15.59,RU,1600816402
356,merauke,-8.47,140.33,81.52,73,98,11.03,ID,1600816402
357,ararat,39.83,44.7,57.2,82,15,3.36,AM,1600816402
358,mahanje,-9.93,35.33,64.35,62,41,2.55,TZ,1600816402
359,bantry,51.68,-9.45,51.8,93,75,13.87,IE,1600816402
360,tuy hoa,13.08,109.3,76.91,86,60,5.14,VN,1600816403
361,kihei,20.79,-156.47,89.6,52,40,25.28,US,1600816403
362,barmer,25.75,71.38,86.81,54,6,10.27,IN,1600816403
363,santa ana,33.75,-117.87,88.0,54,1,8.05,US,1600816379
364,villa maria,-32.41,-63.24,63.0,29,16,5.01,AR,1600816403
365,kununurra,-15.77,128.73,80.6,74,0,8.37,AU,1600816403
366,nabire,-3.37,135.48,74.7,91,100,3.65,ID,1600816404
367,saint-francois,46.42,3.91,63.0,82,100,4.7,FR,1600816404
368,lowestoft,52.48,1.75,62.01,98,25,3.0,GB,1600816404
369,touros,-5.2,-35.46,77.0,83,20,6.93,BR,1600816404
370,kazanka,47.85,32.82,51.8,37,0,2.24,UA,1600816405
371,purulha,15.27,-90.2,62.15,100,66,2.48,GT,1600816405
372,marsaxlokk,35.84,14.54,78.01,94,20,3.36,MT,1600816405
373,tocopilla,-22.09,-70.2,63.03,59,15,6.62,CL,1600816406
374,sitka,57.05,-135.33,59.0,54,90,23.04,US,1600816146
375,finschhafen,-6.6,147.87,83.59,65,48,5.48,PG,1600816406
376,brae,60.4,-1.35,48.2,93,100,19.46,GB,1600816406
377,nazca,-14.83,-74.95,69.55,48,0,2.84,PE,1600816407
378,svetlogorsk,52.63,29.73,54.84,74,0,5.91,BY,1600816407
379,riberalta,-10.98,-66.1,86.0,48,39,9.17,BO,1600816408
380,oak ridge,36.01,-84.27,71.6,43,1,2.73,US,1600816408
381,betafo,-19.83,46.85,53.44,78,0,6.06,MG,1600816408
382,ust-nera,64.57,143.2,43.18,63,96,5.14,RU,1600816409
383,aniva,46.71,142.53,46.4,93,24,4.47,RU,1600816409
